item	block	type	index	lAnd	lOp	mAnd	rOp	rAnd	correct	direction
20005	2	blah	0	2	*	5	+	4	14	left_fast
20006	2	blah	1	4	+	3	*	5	19	left_fast
20007	2	blah	2	3	+	5	*	2	13	left_fast
20008	2	blah	3	5	+	4	*	3	17	left_fast
20009	2	blah	4	4	+	4	*	5	24	left_fast
20010	2	blah	5	5	+	4	*	9	41	left_fast
20011	2	blah	6	8	+	5	*	4	28	left_fast
20012	2	blah	7	5	+	8	*	4	37	left_fast
20013	2	blah	8	8	+	4	*	5	28	left_fast
20014	2	blah	9	4	*	6	+	8	32	left_fast
20015	2	blah	0	8	*	5	+	4	44	left_fast
20016	2	blah	1	5	*	8	+	4	44	left_fast
20017	2	blah	2	5	*	4	+	9	29	left_fast
20018	2	blah	3	4	*	8	+	9	41	left_fast
20019	2	blah	4	4	+	9	*	8	76	left_fast
20210	2	blah	5	9	+	5	*	8	49	left_fast
20211	2	blah	6	5	+	9	*	8	77	left_fast
20212	2	blah	7	4	+	8	*	9	76	left_fast
20213	2	blah	8	4	*	9	+	8	44	left_fast
20214	2	blah	9	9	*	5	+	4	49	left_fast
20215	2	blah	0	9	*	8	+	4	76	left_fast
20216	2	blah	1	9	*	5	+	8	53	left_fast
20217	2	blah	2	6	+	9	*	8	78	left_fast
20218	2	blah	3	7	+	8	*	9	79	left_fast
20219	2	blah	4	9	+	7	*	8	65	left_fast
22000	2	blah	5	4	+	5	*	2	14	left_fast
22001	2	blah	6	5	+	3	*	4	17	left_fast
22002	2	blah	7	2	*	5	+	4	14	left_fast
22003	2	blah	8	4	*	3	+	5	17	left_fast
22004	2	blah	9	5	*	4	+	3	23	left_fast
22005	2	blah	0	4	*	4	+	5	21	left_fast
22006	2	blah	1	5	*	3	+	4	19	left_fast
22007	2	blah	2	5	*	3	+	4	19	left_fast
22008	2	blah	3	2	+	7	*	6	44	left_fast
22009	2	blah	4	3	+	6	*	7	45	left_fast
22210	2	blah	5	6	+	7	*	8	62	left_fast
22211	2	blah	6	8	*	7	+	6	62	left_fast
22212	2	blah	7	9	*	7	+	8	71	left_fast
22213	2	blah	8	6	*	7	+	8	50	left_fast
22214	2	blah	9	7	*	6	+	8	50	left_fast
23000	2	blah	5	3	+	6	*	2	15	left_fast
23001	2	blah	6	2	+	7	*	3	23	left_fast
23002	2	blah	7	6	+	7	*	2	20	left_fast
23003	2	blah	8	6	+	3	*	7	27	left_fast
23004	2	blah	9	2	*	7	+	6	20	left_fast
23005	2	blah	0	7	*	3	+	6	27	left_fast
23006	2	blah	1	3	*	7	+	2	23	left_fast
23007	2	blah	2	2	*	7	+	3	17	left_fast
23008	2	blah	3	3	*	6	+	7	25	left_fast
23009	2	blah	4	4	+	6	*	8	52	left_fast
10000	2	blah	5	4	+	3	*	4	16	left_slow
10001	2	blah	6	7	+	2	*	2	11	left_slow
10004	2	blah	8	6	+	2	*	5	17	left_slow
