item	block	type	index	lAnd	lOp	mAnd	rOp	rAnd	correct	fronted
20000	2	Low	0	2	+	5	*	4	22	left
20001	2	Low	1	3	+	5	*	5	28	left
20002	2	Low	2	4	+	3	*	5	19	left
20003	2	Low	3	5	+	5	*	3	20	left
20004	2	Low	4	5	+	4	*	3	17	left
20005	2	Low	5	2	+	5	*	3	17	left
20006	2	Low	6	3	+	4	*	5	23	left
20007	2	Low	7	4	+	4	*	5	24	left
20008	2	Low	8	5	+	4	*	4	21	left
20009	2	Low	9	5	+	3	*	4	17	left
20100	2	Mixed_Low	0	2	+	7	*	6	44	left
20101	2	Mixed_Low	1	3	+	6	*	7	45	left
20102	2	Mixed_Low	2	7	+	3	*	6	25	left
20103	2	Mixed_Low	3	7	+	6	*	3	25	left
20104	2	Mixed_Low	4	3	+	6	*	2	15	left
20105	2	Mixed_Low	5	2	+	6	*	7	44	left
20106	2	Mixed_Low	6	3	+	7	*	2	17	left
20107	2	Mixed_Low	7	6	+	3	*	7	27	left
20108	2	Mixed_Low	8	7	+	6	*	2	19	left
20109	2	Mixed_Low	9	6	+	6	*	3	24	left
20200	2	Mixed	0	4	+	6	*	8	52	left
20201	2	Mixed	1	5	+	4	*	9	41	left
20202	2	Mixed	2	8	+	5	*	4	28	left
20203	2	Mixed	3	9	+	8	*	4	41	left
20204	2	Mixed	4	8	+	4	*	9	44	left
20205	2	Mixed	5	4	+	9	*	5	49	left
20206	2	Mixed	6	5	+	8	*	4	37	left
20207	2	Mixed	7	9	+	5	*	4	29	left
20208	2	Mixed	8	9	+	5	*	8	49	left
20209	2	Mixed	9	9	+	4	*	8	41	left
20010	2	Low	0	2	+	5	*	4	22	right
20011	2	Low	1	3	+	5	*	5	28	right
20012	2	Low	2	4	+	3	*	5	19	right
20013	2	Low	3	5	+	5	*	3	20	right
20014	2	Low	4	5	+	4	*	3	17	right
20015	2	Low	5	2	+	5	*	3	17	right
20016	2	Low	6	3	+	4	*	5	23	right
20017	2	Low	7	4	+	4	*	5	24	right
20018	2	Low	8	5	+	4	*	4	21	right
20019	2	Low	9	5	+	3	*	4	17	right
20110	2	Mixed_Low	0	2	+	7	*	6	44	right
20111	2	Mixed_Low	1	3	+	6	*	7	45	right
20112	2	Mixed_Low	2	7	+	3	*	6	25	right
20113	2	Mixed_Low	3	7	+	6	*	3	25	right
20114	2	Mixed_Low	4	3	+	6	*	2	15	right
20115	2	Mixed_Low	5	2	+	6	*	7	44	right
20116	2	Mixed_Low	6	3	+	7	*	2	17	right
20117	2	Mixed_Low	7	6	+	3	*	7	27	right
20118	2	Mixed_Low	8	7	+	6	*	2	19	right
20119	2	Mixed_Low	9	6	+	6	*	3	24	right
20210	2	Mixed	0	4	+	6	*	8	52	right
20211	2	Mixed	1	5	+	4	*	9	41	right
20212	2	Mixed	2	8	+	5	*	4	28	right
20213	2	Mixed	3	9	+	8	*	4	41	right
20214	2	Mixed	4	8	+	4	*	9	44	right
20215	2	Mixed	5	4	+	9	*	5	49	right
20216	2	Mixed	6	5	+	8	*	4	37	right
20217	2	Mixed	7	9	+	5	*	4	29	right
20218	2	Mixed	8	9	+	5	*	8	49	right
20219	2	Mixed	9	9	+	4	*	8	41	right
21000	2	Low	0	2	*	5	+	4	14	left
21001	2	Low	1	3	*	5	+	5	20	left
21002	2	Low	2	4	*	3	+	5	17	left
21003	2	Low	3	5	*	5	+	3	28	left
21004	2	Low	4	5	*	4	+	3	23	left
21005	2	Low	5	2	*	5	+	3	13	left
21006	2	Low	6	3	*	4	+	5	17	left
21007	2	Low	7	4	*	4	+	5	21	left
21008	2	Low	8	5	*	4	+	4	24	left
21009	2	Low	9	5	*	3	+	4	19	left
21100	2	Mixed_Low	0	2	*	7	+	6	20	left
21101	2	Mixed_Low	1	3	*	6	+	7	25	left
21102	2	Mixed_Low	2	7	*	3	+	6	27	left
21103	2	Mixed_Low	3	7	*	6	+	3	45	left
21104	2	Mixed_Low	4	3	*	6	+	2	20	left
21105	2	Mixed_Low	5	2	*	6	+	7	19	left
21106	2	Mixed_Low	6	3	*	7	+	2	23	left
21107	2	Mixed_Low	7	6	*	3	+	7	25	left
21108	2	Mixed_Low	8	7	*	6	+	2	44	left
21109	2	Mixed_Low	9	6	*	6	+	3	39	left
21200	2	Mixed	0	4	*	6	+	8	32	left
21201	2	Mixed	1	5	*	4	+	9	29	left
21202	2	Mixed	2	8	*	5	+	4	44	left
21203	2	Mixed	3	9	*	8	+	4	76	left
21204	2	Mixed	4	8	*	4	+	9	41	left
21205	2	Mixed	5	4	*	9	+	5	41	left
21206	2	Mixed	6	5	*	8	+	4	44	left
21207	2	Mixed	7	9	*	5	+	4	49	left
21208	2	Mixed	8	9	*	5	+	8	53	left
21209	2	Mixed	9	9	*	4	+	8	44	left
21010	2	Low	0	2	*	5	+	4	14	right
21011	2	Low	1	3	*	5	+	5	20	right
21012	2	Low	2	4	*	3	+	5	17	right
21013	2	Low	3	5	*	5	+	3	28	right
21014	2	Low	4	5	*	4	+	3	23	right
21015	2	Low	5	2	*	5	+	3	13	right
21016	2	Low	6	3	*	4	+	5	17	right
21017	2	Low	7	4	*	4	+	5	21	right
21018	2	Low	8	5	*	4	+	4	24	right
21019	2	Low	9	5	*	3	+	4	19	right
21110	2	Mixed_Low	0	2	*	7	+	6	20	right
21111	2	Mixed_Low	1	3	*	6	+	7	25	right
21112	2	Mixed_Low	2	7	*	3	+	6	27	right
21113	2	Mixed_Low	3	7	*	6	+	3	45	right
21114	2	Mixed_Low	4	3	*	6	+	2	20	right
21115	2	Mixed_Low	5	2	*	6	+	7	19	right
21116	2	Mixed_Low	6	3	*	7	+	2	23	right
21117	2	Mixed_Low	7	6	*	3	+	7	25	right
21118	2	Mixed_Low	8	7	*	6	+	2	44	right
21119	2	Mixed_Low	9	6	*	6	+	3	39	right
21210	2	Mixed	0	4	*	6	+	8	32	right
21211	2	Mixed	1	5	*	4	+	9	29	right
21212	2	Mixed	2	8	*	5	+	4	44	right
21213	2	Mixed	3	9	*	8	+	4	76	right
21214	2	Mixed	4	8	*	4	+	9	41	right
21215	2	Mixed	5	4	*	9	+	5	41	right
21216	2	Mixed	6	5	*	8	+	4	44	right
21217	2	Mixed	7	9	*	5	+	4	49	right
21218	2	Mixed	8	9	*	5	+	8	53	right
21219	2	Mixed	9	9	*	4	+	8	44	right
10221	1	Mixed	1	4	+	7	*	2	18	none
11222	1	Mixed	2	6	*	2	+	5	17	none
10223	1	Mixed	3	5	+	7	*	2	19	none
10224	1	Mixed	4	2	+	5	*	7	37	none
10225	1	Mixed	5	8	+	3	*	4	20	none
11226	1	Mixed	6	4	*	6	+	2	26	none
11227	1	Mixed	7	2	*	9	+	3	21	none
11228	1	Mixed	8	3	*	7	+	4	25	none
